,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
158,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
157,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
156,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
155,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
154,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
153,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
152,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
151,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
150,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
149,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
148,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
147,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
146,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
145,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
144,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
143,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
142,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
141,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
140,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
139,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
138,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
137,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
136,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
135,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
134,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
133,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
132,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
131,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
130,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
129,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
128,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
127,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
126,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
125,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
124,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
123,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
122,d1,d1,d1,d1,d1,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,y4,d1,d1,d1,d1,d1
